Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,151.000000,-125.000000,90.000000,top
C2,10uf,CP_Elec_4x4.5,125.800000,-99.500000,270.000000,top
C3,10nF,C_0603_1608Metric,152.500000,-125.000000,90.000000,top
C4,10uf,CP_Elec_4x4.5,114.300000,-99.500000,270.000000,top
C5,10uf,CP_Elec_4x4.5,127.000000,-109.500000,90.000000,top
C6,33uF,C_1206_3216Metric,140.100000,-104.800000,180.000000,top
C7,10uf,CP_Elec_4x4.5,140.000000,-111.200000,90.000000,top
C8,10nF,C_0603_1608Metric,129.000000,-87.500000,180.000000,top
C9,10nF,C_0603_1608Metric,129.000000,-92.500000,180.000000,top
C10,1uF,C_0603_1608Metric,107.100000,-88.175000,90.000000,top
C11,1uF,C_0603_1608Metric,107.300000,-92.500000,90.000000,top
C12,1uF,C_0603_1608Metric,115.800000,-112.600000,135.000000,top
C13,1uF,C_0603_1608Metric,109.200000,-101.800000,90.000000,top
C14,1uF,C_0603_1608Metric,168.700000,-106.800000,225.000000,top
C15,1uF,C_0603_1608Metric,111.800000,-107.100000,135.000000,top
C16,1uF,C_0603_1608Metric,169.700000,-75.300000,315.000000,top
C17,1uF,C_0603_1608Metric,172.600000,-94.900000,270.000000,top
C18,1uF,C_0603_1608Metric,173.300000,-87.975000,270.000000,top
C19,1uF,C_0603_1608Metric,166.200000,-69.400000,315.000000,top
C20,1uF,C_0603_1608Metric,171.800000,-81.100000,270.000000,top
C21,1uF,C_0603_1608Metric,118.500000,-64.800000,45.000000,top
C22,1uF,C_0603_1608Metric,108.100000,-81.800000,90.000000,top
C23,1uF,C_0603_1608Metric,123.700000,-61.000000,45.000000,top
C24,1uF,C_0603_1608Metric,110.748008,-75.451992,45.000000,top
C25,1uF,C_0603_1608Metric,129.725000,-58.500000,0.000000,top
C26,1uF,C_0603_1608Metric,136.200000,-56.900000,0.000000,top
C27,1uF,C_0603_1608Metric,149.400000,-58.400000,0.000000,top
C28,1uF,C_0603_1608Metric,113.600000,-70.000000,45.000000,top
C29,1uF,C_0603_1608Metric,143.100000,-56.700000,0.000000,top
C30,1uF,C_0603_1608Metric,164.400000,-112.200000,225.000000,top
C31,1uF,C_0603_1608Metric,161.300000,-64.400000,315.000000,top
C32,1uF,C_0603_1608Metric,155.700000,-60.800000,315.000000,top
C33,1uF,C_0603_1608Metric,171.100000,-101.700000,270.000000,top
C34,1uF,C_0603_1608Metric,138.600000,-79.900000,0.000000,top
C35,10nF,C_0603_1608Metric,138.600000,-81.400000,0.000000,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,113.000000,-115.298000,313.100000,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,143.754000,-53.191000,173.900000,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,108.473000,-109.367000,301.500000,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,151.018000,-54.693000,162.300000,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,105.230000,-102.648000,289.900000,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,157.881000,-57.630000,150.700000,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,103.398000,-95.414000,278.300000,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,164.016000,-61.853000,139.100000,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,103.056000,-87.961000,266.700000,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,169.175000,-67.244000,127.500000,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104.217000,-80.590000,255.100000,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,173.147000,-73.560000,115.900000,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.832000,-73.600000,243.500000,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,175.772000,-80.545000,104.300000,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,110.796000,-67.281000,231.900000,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,176.941000,-87.914000,92.700000,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,115.948000,-61.884000,220.300000,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,176.309000,-95.368000,81.100000,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.078000,-57.630000,208.700000,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,174.787000,-102.604000,69.500000,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128.937000,-54.693000,197.100000,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,171.551000,-109.327000,57.900000,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,136.246000,-53.191000,185.500000,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,167.032000,-115.264000,46.300000,top
J2,AudioJack4,Jack_3.5mm_PJ320D_Horizontal,156.500000,-118.500000,120.000000,top
Q1,AP55N03K,TO-252-2,150.000000,-108.000000,0.000000,top
R1,750,R_0603_1608Metric,143.500000,-106.000000,90.000000,top
R2,10k,R_0603_1608Metric,156.800000,-104.300000,90.000000,top
R3,750,R_0603_1608Metric,149.500000,-103.500000,180.000000,top
R4,10k,R_0603_1608Metric,147.000000,-81.900000,0.000000,top
R5,10k,R_0603_1608Metric,153.200000,-102.200000,0.000000,top
R6,10k,R_0603_1608Metric,143.200000,-71.400000,270.000000,top
RV1,R_POT,Potentiometer_Bourns_3314G_Vertical,138.500000,-100.500000,270.000000,top
SW1,SW_Push,SW_Push_1P1T_NO_CK_KMR2,126.400000,-81.600000,0.000000,top
SW3,SW_DIP_x04,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W6.73mm_P2.54mm_LowProfile_JPin,117.400000,-86.200000,180.000000,top
SW4,SW_DIP_x01,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,162.400000,-106.100000,180.000000,top
U2,LD29150DT50R,TO-252-2,119.800000,-100.000000,270.000000,top
U3,BL1117-33CY,TO-252-2,133.475000,-109.000000,90.000000,top
U4,MCP6001R,SOT-23-5,145.500000,-101.500000,180.000000,top
U5,ESP32-WROOM-32,ESP32-WROOM-32,158.500000,-90.500000,270.000000,top
U6,CH340B (wrong symbol),SOIC-16_3.9x9.9mm_P1.27mm,138.400000,-73.700000,90.000000,top
